Market Name,Latitude,Longitude
Kalyan,19.2396742,73.1366482
Sangola,20.518996100000003,76.79584072166026
Pandharpur,17.7255921,75.30019362933085
Barshi,18.2341108,75.6875109
Solapur,17.84990665,75.27632027348457
Jalna(Badnapur),19.86980152443909,75.65936597957686
Chalisgaon,20.50236555,74.96556999100015
Jalgaon,20.84288265,75.52612463784979
Chopada,23.8917628,77.4049258
Shirur,18.76109885,74.20952895424165
Junnar(Otur),19.2623731,73.9841887
Maanachar,,
Pune(Manjri),,
Pune(Pimpri),18.62734915,73.80469695
Pune(Khadiki),,
Khed(Chakan),18.7398972,73.83254035723428
Indapur(Bhigwan),,
Pune(Hadapsar),,
Khed,18.8515893,73.83618598043944
Kaij,18.7141179,76.0651612
Kille Dharur,,
Jawali,32.1521803,76.0184763982279
Koregaon,17.6919946,74.1490683
Satara,17.63612885,74.29827807601782
Vai,20.4801154,78.1676841
Vaduj,17.5950822,74.4504661
Patan,23.773753,71.67985812598445
Karad,17.2852127,74.1822147
Navapur,21.1666239,73.7725174
Shahada,22.586319500000002,75.76809636533545
Dondaicha,21.3312641,74.5628682
Sakri,23.1077961,79.79178194477156
Dhule,21.1305215,74.49006143365727
Shirpur,20.430923749999998,76.18583486201827
Keonjhar,21.5,85.5
Angul(Jarapada),20.910633726547527,85.0105930583382
Udaipur,24.578721,73.6862571
Kuchaman City,27.0534366,74.8513462
Deedwana,26.6106374,76.3147921
Deedwana(Choti Khatu),,
Nagaur,26.9873443,73.73890107316704
Merta City,26.6480362,74.0335019
Sanchor,26.7845026,74.7239399
Jalore,25.27186295,72.43881214602396
Lalgarh Jatan,,
Jodhpur(F&V)(Paota),,
Neem Ka Thana,27.7215907,75.74804647386591
Itawa,22.98142305,76.03709020181216
Kota (FV),,
Pratapgarh,25.75,81.75
Baran,24.92081645,76.6821984669639
Atru,24.8820675,76.6700458
Bikaner(F&V),12.966018649999999,77.60430857835865
Khajuwala,28.7070054,72.5941081
Jaipur (Grain),,
Kishan Renwal(Fulera),,
Bundi,25.4367659,75.736147085863
Narela,28.8464766,77.0856631
Kollengode,10.6125448,76.6973878
Vadakkenchery,10.5922019,76.4840809
Palakkad,10.78736915,76.47421718925105
Karimganj,24.58281955,92.37254865
North Lakhimpur,27.254431,94.1120339
Bongiagaon,,
Bohorihat,,
Vikasnagar,30.3881655,77.84861616599443
Haridwar Union,,
Bhagwanpur(Naveen Mandi Sthal),,
Lakshar,,
Sitarganj,28.959150049999998,79.72826945827646
Kicchha,,
Khateema,,
Bagbahra,21.0473726,82.3863574
Konta,23.499756650000002,76.44436861020111
Kawardha,22.0059254,81.2332055
Bhatapara,21.7353478,81.9444592
Balodabazar,21.6564735,82.1605962
Katghora,22.5096189,82.5507586
Dhamtari,20.532625850000002,81.71559867809776
Bemetara,21.6783867,81.44125784340252
Gharghoda,22.1674127,83.3485457
Baramkela,21.5646639,83.2622051
Raigarh,22.23617945,83.35295335037318
Gariyaband,20.52675605,82.19172167092043
Devbhog,,
Ambikapur,23.1226343,83.1981886
Pendraroad,,
Kondagoan,,
Charama,20.4929943,81.3663339
Pathalgaon,22.5565847,83.4586397
Bageecha,26.8475376,88.3003426
Ramanujganj,23.806378,83.6998108
Dongargaon,20.6991059,77.10391120650702
Neora,25.5750487,84.986958
Raipur,21.2380912,81.6336993
Arang,21.1986343,81.9659898
Gidam,18.9754038,81.397147
Lormi,22.2715391,81.7022592
Panruti,11.7722823,79.5518978
Vellore,12.9021849,79.06110398623842
Thiryagadurgam,,
Ramkrishanpur(Howrah),,
Dadri,28.5387298,77.5372191
Rudauli,26.726648949999998,81.71138706830052
Mainpuri,27.20930715,79.06253691568566
Ghiraur,,
Ahirora,,
Devariya,25.6590899,75.9084034
Barhaj,26.29645425,83.75689640454809
Haldaur,29.2911363,78.2842594
Bijnaur,29.8575065,78.5598995
Najibabad,29.6131324,78.3430066
Kiratpur,25.995247550000002,86.36518784546662
Tanda,26.518256899999997,82.69469151431963
Uttaripura,,
Choubepur,,
Varipaal,,
Kanpur(Grain),,
